index,period,dist,g_excep,gn_excep_mean,gn_excep_std,g_p_uc,gn_p_uc_mean,g_p_cc,gn_p_cc_mean,g_p_dq,gn_p_dq_mean,g_var_std,gn_var_std_mean
spx,2009,normal,11,16.0,1.7320508075688772,0.08173423327287388,0.0017539157954085116,0.21979993112843277,0.007259011973548908,0.23384057714324213,4.1749023184064114e-05,0.012895801835183698,0.019875158627278722
spx,2009,skewt,8,11.666666666666666,1.5275252316519468,0.4965251678312268,0.07222537468257524,0.7935983811422883,0.17665604386279365,0.5176591295877633,0.035444564309345984,0.014520773378614864,0.014683773128425656
spx,2009,t,9,15.0,1.0,0.29542798548340243,0.003428150472818451,0.5784752519504809,0.013466347477858243,0.3659569202797881,0.00012852873996530936,0.01371580955513733,0.02186261451899787
spx,2011,normal,8,7.666666666666667,0.5773502691896257,0.4965251678312268,0.5862052266920684,0.7935983811422883,0.27556214841011556,4.01086415531271e-05,0.1149595887989574,0.01251743638470427,0.014028813057054002
spx,2011,skewt,7,3.0,0.0,0.7655653444137516,0.1435648642736429,0.9565178499324095,0.3431239653780664,4.752783854922171e-06,0.011451609765274892,0.014152873777907258,0.011623571942186816
spx,2011,t,8,5.333333333333333,0.5773502691896258,0.4965251678312268,0.7062814714984342,0.7935983811422883,0.2187649155331799,4.1653536766328436e-05,0.06590492839385069,0.013142054280698562,0.01420584906397583
spx,2020,normal,12,27.0,2.6457513110645907,0.038280278413802216,1.169891946280662e-08,0.1169203418050705,4.379372586793551e-08,0.007067676904455311,3.700743415417188e-17,0.02580499945041359,0.014699140202518293
spx,2020,skewt,9,20.0,0.0,0.29542798548340243,8.523543760352581e-06,0.5784752519504809,1.589534936870714e-05,0.09235439164743975,1.9727182850222866e-12,0.030696336931048535,0.014742085505025983
spx,2020,t,10,20.666666666666668,1.5275252316519463,0.16172062359665362,1.0911214437007525e-05,0.3756747547762167,9.800252923260663e-06,0.0027650705165608302,1.5465924837106588e-11,0.028350682056541152,0.01564319814092306
wig20,2009,normal,4,10.666666666666666,0.5773502691896258,0.32961526319804,0.10839636338080046,0.6217579568519986,0.20399099501822962,0.981964088982677,0.14810301460439934,0.00641803927898819,0.009068802808031155
wig20,2009,skewt,4,6.333333333333333,2.516611478423583,0.32961526319804,0.5146150387209802,0.6217579568519986,0.6554413542642362,0.9829152891043786,0.746540360715472,0.006368727165422761,0.003771951495460811
wig20,2009,t,4,8.333333333333334,3.2145502536643185,0.32961526319804,0.5742158301030175,0.6217579568519986,0.42874108712538056,0.9827586418481381,0.37992392515596723,0.006143738358481522,0.0027326593345632227
wig20,2011,normal,9,6.666666666666667,1.1547005383792517,0.29542798548340243,0.7780429675980746,0.34974882327486834,0.33007384646708043,0.3302299152011642,0.2281850175410255,0.012937541899291017,0.008092351518648561
wig20,2011,skewt,9,3.6666666666666665,0.5773502691896258,0.29542798548340243,0.2675984635565743,0.34974882327486834,0.5288799596940211,0.3300669751883074,0.38719322053137817,0.013401196267090512,0.004605038092360236
wig20,2011,t,9,4.0,0.0,0.29542798548340243,0.32961526319804,0.34974882327486834,0.6217579568519986,0.33024279746177143,0.8907422849564623,0.013104378055492236,0.001990682870770867
wig20,2020,normal,16,20.333333333333332,1.1547005383792517,0.000923224074270923,1.1483503923437333e-05,0.0009033842924256463,2.5864757774662905e-05,2.610010251258288e-07,1.00219753681093e-07,0.013866729574682405,0.013462323275054719
wig20,2020,skewt,15,19.0,1.0,0.002581386991210577,4.577132041031865e-05,0.0016901221092385788,2.017702047925803e-05,1.4879687770807948e-07,1.4395891885972862e-14,0.014849005358792373,0.002499630251271664
wig20,2020,t,16,19.0,1.0,0.000923224074270923,4.577132041031865e-05,0.0009033842924256463,2.017702047925803e-05,3.3590332559896297e-07,2.1146788024376897e-12,0.014511510253990544,0.0029653001661979514
