index,period,dist,gn_excep_mean,gn_excep_std,gn_excep_min,gn_excep_max,gn_p_uc_mean,gn_p_cc_mean,gn_p_dq_mean,gn_var_std_mean
spx,2009,normal,16.0,1.7320508075688772,15,18,0.0017539157954085116,0.007259011973548908,4.1749023184064114e-05,0.019875158627278722
spx,2009,skewt,11.666666666666666,1.5275252316519468,10,13,0.07222537468257524,0.17665604386279365,0.035444564309345984,0.014683773128425656
spx,2009,t,15.0,1.0,14,16,0.003428150472818451,0.013466347477858243,0.00012852873996530936,0.02186261451899787
spx,2011,normal,7.666666666666667,0.5773502691896257,7,8,0.5862052266920684,0.27556214841011556,0.1149595887989574,0.014028813057054002
spx,2011,skewt,3.0,0.0,3,3,0.1435648642736429,0.3431239653780664,0.011451609765274892,0.011623571942186816
spx,2011,t,5.333333333333333,0.5773502691896258,5,6,0.7062814714984342,0.2187649155331799,0.06590492839385069,0.01420584906397583
spx,2020,normal,27.0,2.6457513110645907,24,29,1.169891946280662e-08,4.379372586793551e-08,3.700743415417188e-17,0.014699140202518293
spx,2020,skewt,20.0,0.0,20,20,8.523543760352581e-06,1.589534936870714e-05,1.9727182850222866e-12,0.014742085505025983
spx,2020,t,20.666666666666668,1.5275252316519463,19,22,1.0911214437007525e-05,9.800252923260663e-06,1.5465924837106588e-11,0.01564319814092306
wig20,2009,normal,10.666666666666666,0.5773502691896258,10,11,0.10839636338080046,0.20399099501822962,0.14810301460439934,0.009068802808031155
wig20,2009,skewt,6.333333333333333,2.516611478423583,4,9,0.5146150387209802,0.6554413542642362,0.746540360715472,0.003771951495460811
wig20,2009,t,8.333333333333334,3.2145502536643185,6,12,0.5742158301030175,0.42874108712538056,0.37992392515596723,0.0027326593345632227
wig20,2011,normal,6.666666666666667,1.1547005383792517,6,8,0.7780429675980746,0.33007384646708043,0.2281850175410255,0.008092351518648561
wig20,2011,skewt,3.6666666666666665,0.5773502691896258,3,4,0.2675984635565743,0.5288799596940211,0.38719322053137817,0.004605038092360236
wig20,2011,t,4.0,0.0,4,4,0.32961526319804,0.6217579568519986,0.8907422849564623,0.001990682870770867
wig20,2020,normal,20.333333333333332,1.1547005383792517,19,21,1.1483503923437333e-05,2.5864757774662905e-05,1.00219753681093e-07,0.013462323275054719
wig20,2020,skewt,19.0,1.0,18,20,4.577132041031865e-05,2.017702047925803e-05,1.4395891885972862e-14,0.002499630251271664
wig20,2020,t,19.0,1.0,18,20,4.577132041031865e-05,2.017702047925803e-05,2.1146788024376897e-12,0.0029653001661979514
