date,return,var_forecast,exceeded
2017-01-04,0.0051584620988398555,-0.020577835231200353,0
2017-01-05,-0.0005851916669650237,-0.02022704003221234,0
2017-01-09,0.005204667495585014,-0.019696670909928223,0
2017-01-10,0.007166214216556277,-0.01941834502747732,0
2017-01-11,0.003453144309610856,-0.01931732268133487,0
2017-01-12,-0.003794172190709766,-0.018963035759506485,0
2017-01-13,-0.003496056883091292,-0.018637161344098978,0
2017-01-16,0.0046323645000461156,-0.01832189531259353,0
2017-01-17,-0.004935006167182898,-0.0181183502839451,0
2017-01-18,-0.004789945814633434,-0.01792882510563994,0
2017-01-19,0.004884221073649719,-0.017791268286314704,0
2017-01-20,-0.00470474424811318,-0.01765629400074827,0
2017-01-23,-0.007329852173467266,-0.017528969617316766,0
2017-01-24,0.010892771761205289,-0.017663380933539703,0
2017-01-25,0.03224856218541294,-0.018258105626632874,0
2017-01-26,0.0006010265714460061,-0.024264355187717215,0
2017-01-27,0.00175293300898538,-0.023283793766238434,0
2017-01-30,-0.015746757519629284,-0.02245908963332013,0
2017-01-31,0.0025996042213289883,-0.02314227055530883,0
2017-02-01,0.010769145139740033,-0.022388372011007143,0
2017-02-02,-0.0067370870421266105,-0.02231584558585175,0
2017-02-03,0.005302746376215417,-0.021884387248008053,0
2017-02-06,0.006476678592130192,-0.02137010887641879,0
2017-02-07,-0.0014702539674207316,-0.020987424558098298,0
2017-02-08,-0.0013860281966326937,-0.020439764490208755,0
2017-02-09,0.023126942437097675,-0.0199270300628334,0
2017-02-10,0.010445165045073423,-0.022567592409851685,0
2017-02-13,0.011475630323162456,-0.02245230804367758,0
2017-02-14,-0.0027105143139047883,-0.022495503383715146,0
2017-02-15,0.004850758348668549,-0.021822105323696273,0
2017-02-16,0.014105773138054722,-0.021342407722022245,0
2017-02-17,-0.012289931829346123,-0.02186387120304228,0
2017-02-20,0.0020497189384398595,-0.022068547828970428,0
2017-02-21,0.02509751639121749,-0.021426984332501627,0
2017-02-22,0.001111224817316625,-0.02423059752001475,0
2017-02-23,0.0022143194249508724,-0.02334574146309437,0
2017-02-24,-0.019682599570872483,-0.022620060031878438,0
2017-02-27,-0.0008050110106170294,-0.023960911747730993,0
2017-02-28,-0.008637998415305326,-0.023105413686547126,0
2017-03-01,0.02821651197788455,-0.02275154637573924,0
2017-03-02,0.0002439852112710028,-0.026130565649703317,0
2017-03-03,-0.00959563818523268,-0.02508608195789582,0
2017-03-06,-0.006997168125049136,-0.024596171128502396,0
2017-03-07,-0.007437132407877911,-0.02393881025453589,0
2017-03-08,0.005554789532107307,-0.023395160314436846,0
2017-03-09,-0.010711224622259152,-0.022793641959857384,0
2017-03-10,0.0047247160007808375,-0.022682340212791294,0
2017-03-13,0.01914261461135336,-0.022079465355320703,0
2017-03-14,-0.0018612213106603548,-0.02341836725502511,0
2017-03-15,-0.003809102126998809,-0.022653965017468587,0
2017-03-16,0.02385364684678315,-0.022018406270361515,0
2017-03-17,0.005793928452549224,-0.02434982892240067,0
2017-03-20,-0.006779657369315295,-0.02367275308273235,0
2017-03-21,-0.01273941913957799,-0.023116119769444974,0
2017-03-22,-0.012836355244754571,-0.023234442910757273,0
2017-03-23,0.00515343681859548,-0.023356451305483382,0
2017-03-24,-0.00022818026339699315,-0.02272435821851903,0
2017-03-27,-0.014849147006783525,-0.022031638964494827,0
2017-03-28,0.010629627402829911,-0.02259467765751095,0
2017-03-29,-0.004937102639486213,-0.022527327478169303,0
2017-03-30,-0.0024188729000673703,-0.02197557056325463,0
2017-03-31,-0.015115246294204354,-0.021396800260028798,0
2017-04-03,0.019983193897363805,-0.022085589489204697,0
2017-04-04,0.0087101766594877,-0.02353372185523154,0
2017-04-05,0.006383369772629877,-0.023201228608912966,0
2017-04-06,0.0003682252692938093,-0.022661937946336846,0
2017-04-07,-0.002727193659750604,-0.021958833359964975,0
2017-04-10,-0.0019188181341185384,-0.021350664544013527,0
2017-04-11,-0.0099422204414088,-0.020761639193766643,0
2017-04-12,-0.0034987456450528143,-0.02081119054953715,0
2017-04-13,0.00880013053756823,-0.020378351269743945,0
2017-04-18,0.0016685346490872277,-0.020326636824815857,0
2017-04-19,0.016547180005006545,-0.019891961209735364,0
2017-04-20,0.00488104273306611,-0.02109518888904611,0
2017-04-21,-0.00956074352409253,-0.02071463768592568,0
2017-04-24,0.014396309122694184,-0.020734538292439233,0
2017-04-25,0.024202967615673643,-0.02139332724357355,0
2017-04-26,0.01300380990206218,-0.0239196859849394,0
2017-04-27,-0.000499291980792016,-0.02398789481047312,0
2017-04-28,-0.0024833771547605465,-0.023159221540222166,0
2017-05-02,0.0063829647028725844,-0.022457753867990513,0
2017-05-04,-0.00464689329390211,-0.022009675538217102,0
2017-05-05,0.0004912694795828898,-0.02151148332472808,0
2017-05-08,-0.0033386625916147494,-0.020937645490847222,0
2017-05-09,0.016417231729259463,-0.02049510892284835,0
2017-05-10,-0.013884881938289517,-0.02151907127298013,0
2017-05-11,-0.006457100986474451,-0.021986579209224793,0
2017-05-12,0.0015084201844803857,-0.021601967890348524,0
2017-05-15,0.0036454477592577916,-0.021033066064113166,0
2017-05-16,-0.015606073180916447,-0.020579860286580844,0
2017-05-17,-0.016426686799349,-0.021457870835105503,0
2017-05-18,-0.0030756873300612497,-0.022325371063388333,0
2017-05-19,0.014516328126452649,-0.021737955169610936,0
2017-05-22,0.006177470451083522,-0.022226975892917136,0
2017-05-23,-0.015175620255430289,-0.02179119685741604,0
2017-05-24,0.007403715802094979,-0.02236625369906268,0
2017-05-25,0.014271925211911451,-0.02199410332803816,0
2017-05-26,-0.013717237983230213,-0.022416194526797023,0
2017-05-29,-0.0011613254177333943,-0.022725058992716866,0
2017-05-30,-0.013566506804134626,-0.02211487832489715,0
2017-05-31,-0.004849740015249182,-0.02243699720499795,0
2017-06-01,-0.001280859227980713,-0.021891511303832815,0
2017-06-02,0.010891808373361123,-0.02129995194004359,0
2017-06-05,-0.011879892164202488,-0.02140313903784895,0
2017-06-06,0.012083934371257321,-0.021579539942649762,0
2017-06-07,0.002150762268008144,-0.021738899879985056,0
2017-06-08,0.013590608570887674,-0.021171085869727692,0
2017-06-09,-0.004071982419196374,-0.021611091738336113,0
2017-06-12,-0.015440031917009378,-0.021113459530172768,0
2017-06-13,0.00321919963399786,-0.02178020871226218,0
2017-06-14,-0.002792277388350861,-0.021231505021885623,0
2017-06-16,0.0036996101312878338,-0.02071561333173656,0
2017-06-19,0.012835475229313609,-0.020263742142854358,0
2017-06-20,-0.013560407054528767,-0.02066405069475819,0
2017-06-21,0.007053313994925148,-0.02112414339361656,0
2017-06-22,-0.00474144501496454,-0.02084672581540064,0
2017-06-23,-0.001595615864568245,-0.020462898471260132,0
2017-06-26,0.014308207831243536,-0.020051926116319757,0
2017-06-27,0.0031434613327068206,-0.020664174429006803,0
2017-06-28,-0.007434660256120829,-0.020213776025606717,0
2017-06-29,0.000678557190182616,-0.020034967912120442,0
2017-06-30,-0.012728457934187531,-0.019622941626628317,0
2017-07-03,0.010355794022911091,-0.020084608869192295,0
2017-07-04,-0.012763246530561823,-0.02018965486895077,0
2017-07-05,0.005745643566227976,-0.020581276349393673,0
2017-07-06,-0.0029295433724012554,-0.020288073104173077,0
2017-07-07,-0.0021407321470494622,-0.01989967560060426,0
2017-07-10,0.0021059601211410595,-0.01952819657756628,0
2017-07-11,-0.0012743592416146754,-0.019180674338307,0
2017-07-12,0.018887153510875443,-0.018808664918363263,0
2017-07-13,0.003959624726041611,-0.020395436281596135,0
2017-07-14,-0.0001701671470906163,-0.020059934070673625,0
