date,return,var_forecast,exceeded
2010-12-21,0.006011993849786457,-0.026477766048651485,0
2010-12-22,0.003373857625541987,-0.02608990055683039,0
2010-12-23,-0.0016456817776040467,-0.026254830649367816,0
2010-12-27,0.0006125096248110751,-0.026097463539557643,0
2010-12-28,0.0007710265951414996,-0.026488351659780262,0
2010-12-29,0.001008636510665184,-0.02656781105658139,0
2010-12-30,-0.0015093576964178013,-0.026729954584150645,0
2010-12-31,-0.00019080765268331135,-0.027061276366884827,0
2011-01-03,0.011251294147760937,-0.02722690183044135,0
2011-01-04,-0.0013139246526350234,-0.02608160302373881,0
2011-01-05,0.0049946760743084795,-0.02628340386624065,0
2011-01-06,-0.002125214370637174,-0.025688155352179713,0
2011-01-07,-0.0018464857690823067,-0.026138164213342585,0
2011-01-10,-0.001377275180819204,-0.026681355174664693,0
2011-01-11,0.0037182062584069087,-0.026749913142486814,0
2011-01-12,0.00896725379885055,-0.026662612094476384,0
2011-01-13,-0.0017122112404592826,-0.026155322877461033,0
2011-01-14,0.007357410347301752,-0.026505447538294966,0
2011-01-18,0.0013754642661831795,-0.025446447194026226,0
2011-01-19,-0.01016716579338528,-0.025798662338265888,0
2011-01-20,-0.001295798403834425,-0.026879308210484714,0
2011-01-21,0.0024106376042603017,-0.02715617419990205,0
2011-01-24,0.005819315234595557,-0.027159402124364528,0
2011-01-25,0.0002634277736186519,-0.026766802964505232,0
2011-01-26,0.004212024148480431,-0.026816721797365734,0
2011-01-27,0.0022417910607996916,-0.026363615961341454,0
2011-01-28,-0.018013805424183182,-0.02599979075162706,0
2011-01-31,0.007633349932881117,-0.02810807576247124,0
2011-02-01,0.016555791837834732,-0.027292522804105056,0
2011-02-02,-0.0027262302593635823,-0.02617104057720485,0
2011-02-03,0.002351432290127242,-0.02627327191151763,0
2011-02-04,0.0028801110627521,-0.026056982503423025,0
2011-02-07,0.006220782345953246,-0.025975700777108136,0
2011-02-08,0.0041760203758389736,-0.02542422919756985,0
2011-02-09,-0.002789653077800658,-0.02524593761975648,0
2011-02-10,0.000749212207498573,-0.025515179856829877,0
2011-02-11,0.005492261501887086,-0.025664383417359517,0
2011-02-14,0.0023820846440685273,-0.02538395882429565,0
2011-02-15,-0.0032401546915794555,-0.0253604277251777,0
2011-02-16,0.006237938698851586,-0.025652310362114104,0
2011-02-17,0.0030709708803797753,-0.02563273806607032,0
2011-02-18,0.0019228727220248487,-0.025650328474512867,0
2011-02-22,-0.0207422049204542,-0.025355365705113143,0
2011-02-23,-0.006130715010509213,-0.027821254688274486,0
2011-02-24,-0.000994871961243149,-0.028807244020596322,0
2011-02-25,0.010495248165325322,-0.029757777930494347,0
2011-02-28,0.005545679951232785,-0.028933699213649147,0
2011-03-01,-0.015864861791058615,-0.02760713415693368,0
2011-03-02,0.001613897889519933,-0.029858539560090845,0
2011-03-03,0.017072434579239015,-0.029291826663094937,0
2011-03-04,-0.00740538978936911,-0.027662528784230377,0
2011-03-07,-0.008376215256269859,-0.02818625626312017,0
2011-03-08,0.008883161530176764,-0.02929224706237885,0
2011-03-09,-0.0013626313929711031,-0.027921290244120343,0
2011-03-10,-0.019051280476330312,-0.027829199341292715,0
2011-03-11,0.007055564524569569,-0.030021363136701344,0
2011-03-14,-0.006067696956773894,-0.029431741998716655,0
2011-03-15,-0.011263544394846114,-0.03005554915362666,0
2011-03-16,-0.0196874819493722,-0.030808795895980786,0
2011-03-17,0.01330926623187434,-0.03343601957079423,0
2011-03-18,0.0043009395825457375,-0.033110762281613346,0
2011-03-21,0.014874667930182994,-0.03203388112041313,0
2011-03-22,-0.003556885341038374,-0.030589836618805693,0
2011-03-23,0.00290974225850249,-0.03056557973621184,0
2011-03-24,0.00929739343547542,-0.030414305776952966,0
2011-03-25,0.0031561510021891337,-0.02946694932191265,0
2011-03-28,-0.0027516184993912063,-0.02778565488355455,0
2011-03-29,0.007035239607302124,-0.027373183841264883,0
2011-03-30,0.0066624626262346,-0.027157558338373272,0
2011-03-31,-0.0018311771049752679,-0.025627119396441425,0
2011-04-01,0.00495071294445637,-0.025604526055664288,0
2011-04-04,0.0003451501808520163,-0.025267751578623855,0
