date,return,var_forecast,exceeded
2008-12-30,0.017028556218997792,-0.05202562559716407,0
2008-12-31,-0.008944474101083344,-0.05070560706939668,0
2009-01-05,0.047844376268715294,-0.04877151478750944,0
2009-01-06,0.022645179696328732,-0.053905809667189865,0
2009-01-07,-0.0171157110371718,-0.05330094247246535,0
2009-01-08,-0.013116340634849344,-0.0520058344684629,0
2009-01-09,-0.02493187373485206,-0.050482473337331246,0
2009-01-12,-0.014219929945163301,-0.05035939587009689,0
2009-01-13,-0.014385421056514858,-0.04894535363110299,0
2009-01-14,-0.0374335311904197,-0.04761369819201256,0
2009-01-15,-0.009971786148195605,-0.050031791694328635,0
2009-01-16,0.012320266293833093,-0.04836543962010545,0
2009-01-19,-0.0361298420348124,-0.04655298977097049,0
2009-01-20,-0.001180228273881312,-0.04884377499812883,0
2009-01-21,0.021671453720894185,-0.047020553083062584,0
2009-01-22,-0.03568461710167714,-0.046784726241710636,0
2009-01-23,-0.005223753909930018,-0.048924833970814506,0
2009-01-26,0.03230567853854094,-0.04713251907403095,0
2009-01-27,-0.034200141993856015,-0.04855067181502456,0
2009-01-28,0.012026149786358076,-0.05013744902677718,0
2009-01-29,-0.01029304171662826,-0.048733593131735684,0
2009-01-30,-0.010168077774256545,-0.04722039434292869,0
2009-02-02,-0.03989056351569964,-0.04574054037118916,0
2009-02-03,-0.0489487360052534,-0.048876770733085086,1
2009-02-04,0.013963209988926195,-0.05362439561650887,0
2009-02-05,0.005008183293645274,-0.05218504637430309,0
2009-02-06,0.0294421435766683,-0.050346507403560344,0
2009-02-09,0.029994853379298192,-0.05096081255274556,0
2009-02-10,0.0036490043683068407,-0.051622381285431715,0
2009-02-11,-0.025937279452149298,-0.04977536432365487,0
2009-02-12,-0.03237291375397344,-0.04984266102370956,0
2009-02-13,-0.0014732375715098556,-0.05092913148161458,0
2009-02-16,-0.038640534219475775,-0.04902595942834419,0
2009-02-17,-0.0782147783609961,-0.051484104525222375,1
2009-02-18,0.00760859370575151,-0.06441278225801818,0
2009-02-19,0.04969459455205705,-0.062166716083322235,0
2009-02-20,-0.016378761576175904,-0.06548355195927023,0
2009-02-23,-0.013055718763657964,-0.06364002924141665,0
2009-02-24,-0.0029931356344361504,-0.061661167923433166,0
2009-02-25,-0.011772971251416742,-0.05932750950104196,0
2009-02-26,0.03478185893348762,-0.05748851823040002,0
2009-02-27,-0.014675353693338167,-0.058394495427157564,0
2009-03-02,0.0056453608523074905,-0.05672335489570865,0
2009-03-03,0.015585328551925848,-0.0549465549371481,0
2009-03-04,0.041428977582157245,-0.05360469622243616,0
